NAME;death_million;numero
Argentina;2,851.53;64
Bolivia;1,901.92;71
Brazil;3,131.87;49
Chile;2,998.20;49
Colombia;2,774.90;58
Ecuador;2,040.39;77
Falkland Islands (Malvinas);;
French Guiana ;;
Guyana;;
Paraguay;2,658.90;60
Peru;6,533.16;52
Suriname ;;
Uruguay;2,072.95;58
Venezuela;199.5;81
